tr_tra_name_2018,Date,Visitors (000),Expenditure ($M),Average spend per trip
Sydney,2013-01-01,"18,706","2,075",111
Blue Mountains,2013-01-01,"2,108",193,92
Capital Country,2013-01-01,"2,305",226,98
Central Coast,2013-01-01,"3,707",282,76
Central NSW,2013-01-01,"2,397",381,159
Hunter,2013-01-01,"5,401",520,96
New England North West,2013-01-01,"1,321",175,132
North Coast NSW,2013-01-01,"6,230",749,120
Outback NSW,2013-01-01,np,np,np
Riverina,2013-01-01,"1,308",249,191
Snowy Mountains,2013-01-01,484,49,102
South Coast,2013-01-01,"6,116",530,87
The Murray,2013-01-01,"1,265",209,165
Melbourne,2013-01-01,"17,070","1,949",114
Ballarat,2013-01-01,"1,525",188,124
Bendigo Loddon,2013-01-01,"2,485",278,112
Central Highlands,2013-01-01,np,np,np
Central Murray,2013-01-01,917,98,107
Geelong and the Bellarine,2013-01-01,"2,983",261,88
Gippsland,2013-01-01,"2,192",203,92
Goulburn,2013-01-01,"1,127",111,99
Great Ocean Road,2013-01-01,"2,126",225,106
High Country,2013-01-01,"1,247",134,107
Lakes,2013-01-01,609,59,96
Macedon,2013-01-01,"1,065",61,58
Mallee,2013-01-01,661,84,128
Melbourne East,2013-01-01,"2,500",209,83
Murray East,2013-01-01,np,np,np
Peninsula,2013-01-01,"4,125",292,71
Phillip Island,2013-01-01,"1,321",np,np
Spa Country,2013-01-01,545,44,82
Upper Yarra,2013-01-01,607,57,94
Western Grampians,2013-01-01,np,np,np
Wimmera,2013-01-01,np,np,np
Brisbane,2013-01-01,"13,311","1,428",107
Bundaberg,2013-01-01,"1,101",np,np
Southern Queensland Country,2013-01-01,"3,895",442,113
Fraser Coast,2013-01-01,755,91,121
Gold Coast,2013-01-01,"6,085",619,102
Mackay,2013-01-01,977,np,np
Townsville,2013-01-01,"1,238",202,163
Outback Queensland,2013-01-01,np,np,np
Sunshine Coast,2013-01-01,"5,993",543,91
Tropical North Queensland,2013-01-01,"2,565",301,117
Whitsundays,2013-01-01,np,np,np
Capricorn,2013-01-01,"1,339",160,119
Gladstone,2013-01-01,np,np,np
Adelaide,2013-01-01,"4,167",519,125
Adelaide Hills,2013-01-01,870,61,70
Barossa,2013-01-01,679,64,95
Clare Valley,2013-01-01,206,14,69
Eyre Peninsula,2013-01-01,320,52,161
Fleurieu Peninsula,2013-01-01,"2,227",152,68
Limestone Coast,2013-01-01,582,80,138
Murraylands,2013-01-01,716,47,66
Riverland,2013-01-01,416,42,100
Yorke Peninsula,2013-01-01,507,40,80
Flinders Ranges and Outback,2013-01-01,557,63,114
Kangaroo Island,2013-01-01,np,np,np
Experience Perth,2013-01-01,"9,928",930,94
Australia's Golden Outback,2013-01-01,740,96,130
Australia's North West,2013-01-01,np,np,np
Australia's South West,2013-01-01,"2,980",314,105
Australia's Coral Coast,2013-01-01,793,83,105
Hobart and the South,2013-01-01,"2,033",193,95
East Coast,2013-01-01,214,21,99
Launceston and the North,2013-01-01,"1,727",219,127
North West,2013-01-01,907,81,89
West Coast,2013-01-01,np,np,np
Darwin,2013-01-01,419,70,167
Barkly,2013-01-01,np,np,np
Alice Springs,2013-01-01,np,np,np
Litchfield Kakadu Arnhem,2013-01-01,299,23,78
Katherine Daly,2013-01-01,153,np,np
Lasseter,2013-01-01,np,np,np
MacDonnell,2013-01-01,np,np,np
Canberra,2013-01-01,"1,819",282,155
Sydney,2014-01-01,"20,761","2,271",109
Blue Mountains,2014-01-01,"2,480",202,81
Capital Country,2014-01-01,"1,974",159,81
Central Coast,2014-01-01,"3,445",257,74
Central NSW,2014-01-01,"2,805",441,157
Hunter,2014-01-01,"5,738",645,112
New England North West,2014-01-01,"1,609",217,135
North Coast NSW,2014-01-01,"5,565",579,104
Outback NSW,2014-01-01,np,np,np
Riverina,2014-01-01,"1,389",241,173
Snowy Mountains,2014-01-01,608,np,np
South Coast,2014-01-01,"5,628",464,83
The Murray,2014-01-01,"1,178",172,146
Melbourne,2014-01-01,"15,254","1,762",115
Ballarat,2014-01-01,"1,665",162,97
Bendigo Loddon,2014-01-01,"1,970",256,130
Central Highlands,2014-01-01,np,np,np
Central Murray,2014-01-01,805,74,92
Geelong and the Bellarine,2014-01-01,"3,105",232,75
Gippsland,2014-01-01,"2,595",199,77
Goulburn,2014-01-01,"1,262",199,158
Great Ocean Road,2014-01-01,"2,458",229,93
High Country,2014-01-01,"1,545",149,96
Lakes,2014-01-01,393,46,117
Macedon,2014-01-01,989,67,68
Mallee,2014-01-01,557,92,165
Melbourne East,2014-01-01,"3,008",252,84
Murray East,2014-01-01,np,np,np
Peninsula,2014-01-01,"3,711",297,80
Phillip Island,2014-01-01,"1,368",110,81
Spa Country,2014-01-01,558,43,78
Upper Yarra,2014-01-01,440,37,84
Western Grampians,2014-01-01,393,59,151
Wimmera,2014-01-01,np,np,np
Brisbane,2014-01-01,"13,752","1,397",102
Bundaberg,2014-01-01,925,133,144
Southern Queensland Country,2014-01-01,"3,161",414,131
Fraser Coast,2014-01-01,737,87,119
Gold Coast,2014-01-01,"6,535",723,111
Mackay,2014-01-01,860,153,178
Townsville,2014-01-01,"1,432",163,114
Outback Queensland,2014-01-01,np,np,np
Sunshine Coast,2014-01-01,"5,588",580,104
Tropical North Queensland,2014-01-01,"1,971",217,110
Whitsundays,2014-01-01,np,np,np
Capricorn,2014-01-01,"1,258",167,132
Gladstone,2014-01-01,np,np,np
Adelaide,2014-01-01,"4,277",525,123
Adelaide Hills,2014-01-01,981,74,75
Barossa,2014-01-01,829,81,97
Clare Valley,2014-01-01,244,22,90
Eyre Peninsula,2014-01-01,298,38,127
Fleurieu Peninsula,2014-01-01,"2,544",193,76
Limestone Coast,2014-01-01,494,56,113
Murraylands,2014-01-01,726,64,88
Riverland,2014-01-01,480,44,91
Yorke Peninsula,2014-01-01,486,39,80
Flinders Ranges and Outback,2014-01-01,593,78,132
Kangaroo Island,2014-01-01,np,np,np
Experience Perth,2014-01-01,"11,868","1,240",104
Australia's Golden Outback,2014-01-01,880,76,87
Australia's North West,2014-01-01,450,49,109
Australia's South West,2014-01-01,"3,498",400,114
Australia's Coral Coast,2014-01-01,851,94,110
Hobart and the South,2014-01-01,"2,259",209,93
East Coast,2014-01-01,296,np,np
Launceston and the North,2014-01-01,"1,533",208,136
North West,2014-01-01,"1,053",106,101
West Coast,2014-01-01,np,np,np
Darwin,2014-01-01,392,60,153
Barkly,2014-01-01,np,np,np
Alice Springs,2014-01-01,np,np,np
Litchfield Kakadu Arnhem,2014-01-01,361,37,101
