tr_tra_name_2018,Date,Visitors (000),Nights (000),Expenditure ($M),Average nights,Average spend per trip,Average spend per night
Sydney,2013-01-01,"2,784","59,541","5,866",21,"2,107",99
Blue Mountains,2013-01-01,79,381,29,5,371,76
Capital Country,2013-01-01,22,341,14,15,623,40
Central Coast,2013-01-01,38,485,21,13,570,44
Central NSW,2013-01-01,37,588,39,16,"1,065",67
Hunter,2013-01-01,133,"1,948",144,15,"1,083",74
New England North West,2013-01-01,33,931,48,28,"1,422",51
North Coast NSW,2013-01-01,254,"2,973",150,12,591,50
Outback NSW,2013-01-01,12,218,np,18,np,np
Riverina,2013-01-01,22,632,31,28,"1,397",50
Snowy Mountains,2013-01-01,21,267,11,13,547,43
South Coast,2013-01-01,104,"1,504",117,14,"1,132",78
The Murray,2013-01-01,19,369,20,19,"1,052",54
Melbourne,2013-01-01,"1,751","41,515","4,221",24,"2,410",102
Ballarat,2013-01-01,22,409,26,19,"1,180",63
Bendigo Loddon,2013-01-01,18,152,9,9,493,57
Central Highlands,2013-01-01,25,99,11,4,449,114
Central Murray,2013-01-01,10,185,6,19,582,30
Geelong and the Bellarine,2013-01-01,41,551,np,13,np,np
Gippsland,2013-01-01,29,296,16,10,551,54
Goulburn,2013-01-01,13,496,20,37,"1,510",41
Great Ocean Road,2013-01-01,132,940,38,7,289,41
High Country,2013-01-01,17,211,10,13,577,46
Lakes,2013-01-01,25,80,5,3,178,56
Macedon,2013-01-01,7,161,np,24,np,np
Mallee,2013-01-01,23,607,21,27,930,35
Melbourne East,2013-01-01,23,569,34,25,"1,499",59
Murray East,2013-01-01,np,np,np,np,np,np
Peninsula,2013-01-01,31,501,31,16,981,61
Phillip Island,2013-01-01,27,96,7,4,261,73
Spa Country,2013-01-01,np,np,np,np,np,np
Upper Yarra,2013-01-01,np,np,np,np,np,np
Western Grampians,2013-01-01,10,72,np,7,np,np
Wimmera,2013-01-01,np,np,np,np,np,np
Brisbane,2013-01-01,"1,013","21,923","1,619",22,"1,598",74
Bundaberg,2013-01-01,39,887,26,23,660,29
Southern Queensland Country,2013-01-01,43,"1,356",63,32,"1,483",47
Fraser Coast,2013-01-01,119,697,36,6,305,52
Gold Coast,2013-01-01,747,"7,223",839,10,"1,123",116
Mackay,2013-01-01,45,762,34,17,751,44
Townsville,2013-01-01,114,"1,732",92,15,804,53
Outback Queensland,2013-01-01,30,565,17,19,568,31
Sunshine Coast,2013-01-01,226,"2,487",174,11,767,70
Tropical North Queensland,2013-01-01,707,"6,511",884,9,"1,251",136
Whitsundays,2013-01-01,185,"1,323",130,7,706,99
Capricorn,2013-01-01,68,697,36,10,538,52
Gladstone,2013-01-01,51,543,24,11,476,45
Adelaide,2013-01-01,325,"8,547",579,26,"1,785",68
Adelaide Hills,2013-01-01,7,103,np,15,np,np
Barossa,2013-01-01,8,74,5,9,585,65
Clare Valley,2013-01-01,np,np,np,np,np,np
Eyre Peninsula,2013-01-01,14,163,np,12,np,np
Fleurieu Peninsula,2013-01-01,20,167,10,8,492,60
Limestone Coast,2013-01-01,38,339,14,9,376,43
Murraylands,2013-01-01,10,132,7,13,705,55
Riverland,2013-01-01,9,297,6,32,668,21
Yorke Peninsula,2013-01-01,np,np,np,np,np,np
Flinders Ranges and Outback,2013-01-01,43,444,19,10,451,43
Kangaroo Island,2013-01-01,31,87,28,3,905,324
Experience Perth,2013-01-01,706,"21,943","1,878",31,"2,658",86
Australia's Golden Outback,2013-01-01,41,921,55,22,"1,326",59
Australia's North West,2013-01-01,66,"2,400",128,36,"1,934",53
Australia's South West,2013-01-01,111,"1,617",103,15,934,64
Australia's Coral Coast,2013-01-01,61,"1,066",71,18,"1,170",66
Hobart and the South,2013-01-01,129,"1,965",160,15,"1,243",81
East Coast,2013-01-01,26,73,17,3,670,235
Launceston and the North,2013-01-01,54,743,50,14,923,67
North West,2013-01-01,32,417,19,13,579,45
West Coast,2013-01-01,13,24,11,2,815,456
Darwin,2013-01-01,118,"1,968",129,17,"1,100",66
Barkly,2013-01-01,17,68,2,4,113,28
Alice Springs,2013-01-01,121,873,66,7,545,75
Litchfield Kakadu Arnhem,2013-01-01,32,179,25,6,759,137
Katherine Daly,2013-01-01,30,206,15,7,504,73
Lasseter,2013-01-01,139,405,150,3,"1,085",371
MacDonnell,2013-01-01,7,15,3,2,389,180
Canberra,2013-01-01,178,"4,774",375,27,"2,108",79
Sydney,2014-01-01,"2,985","62,901","6,222",21,"2,084",99
Blue Mountains,2014-01-01,84,427,54,5,641,126
Capital Country,2014-01-01,25,591,29,24,"1,171",49
Central Coast,2014-01-01,41,715,41,17,990,57
Central NSW,2014-01-01,37,969,43,26,"1,164",44
Hunter,2014-01-01,144,"2,654",167,18,"1,167",63
New England North West,2014-01-01,32,836,44,26,"1,361",52
North Coast NSW,2014-01-01,267,"2,941",157,11,587,53
Outback NSW,2014-01-01,9,132,np,15,np,np
Riverina,2014-01-01,21,661,19,31,908,29
Snowy Mountains,2014-01-01,18,182,np,10,np,np
South Coast,2014-01-01,111,"2,096",144,19,"1,296",69
The Murray,2014-01-01,22,264,17,12,795,66
Melbourne,2014-01-01,"1,956","41,754","4,545",21,"2,323",109
Ballarat,2014-01-01,22,144,13,6,602,93
Bendigo Loddon,2014-01-01,18,193,12,11,651,60
Central Highlands,2014-01-01,26,90,np,3,np,np
Central Murray,2014-01-01,14,218,np,15,np,np
Geelong and the Bellarine,2014-01-01,42,624,44,15,"1,031",70
Gippsland,2014-01-01,36,494,32,14,887,64
Goulburn,2014-01-01,17,443,np,26,np,np
Great Ocean Road,2014-01-01,152,664,71,4,467,107
High Country,2014-01-01,21,337,21,16,"1,000",62
Lakes,2014-01-01,31,205,3,7,92,14
Macedon,2014-01-01,np,np,np,np,np,np
Mallee,2014-01-01,18,637,25,35,"1,393",40
Melbourne East,2014-01-01,35,811,45,23,"1,275",55
Murray East,2014-01-01,np,np,np,np,np,np
Peninsula,2014-01-01,46,686,32,15,685,46
Phillip Island,2014-01-01,34,124,11,4,310,85
Spa Country,2014-01-01,np,np,np,np,np,np
Upper Yarra,2014-01-01,np,np,np,np,np,np
Western Grampians,2014-01-01,8,61,np,8,np,np
Wimmera,2014-01-01,np,np,np,np,np,np
Brisbane,2014-01-01,993,"20,710","1,543",21,"1,554",74
Bundaberg,2014-01-01,32,"1,016",36,31,"1,110",35
Southern Queensland Country,2014-01-01,42,"1,336",57,32,"1,364",43
Fraser Coast,2014-01-01,118,486,39,4,328,80
Gold Coast,2014-01-01,793,"8,087",955,10,"1,204",118
Mackay,2014-01-01,45,716,27,16,608,38
Townsville,2014-01-01,97,"1,217",79,13,811,65
Outback Queensland,2014-01-01,33,847,21,25,626,25
Sunshine Coast,2014-01-01,232,"2,708",215,12,928,80
Tropical North Queensland,2014-01-01,691,"6,232",846,9,"1,224",136
Whitsundays,2014-01-01,190,"1,354",129,7,676,95
Capricorn,2014-01-01,58,559,25,10,426,44
Gladstone,2014-01-01,49,581,20,12,396,34
Adelaide,2014-01-01,353,"7,900",615,22,"1,740",78
Adelaide Hills,2014-01-01,10,124,np,12,np,np
Barossa,2014-01-01,13,103,np,8,np,np
Clare Valley,2014-01-01,np,np,np,np,np,np
Eyre Peninsula,2014-01-01,12,138,10,12,808,69
Fleurieu Peninsula,2014-01-01,21,156,11,7,512,70
Limestone Coast,2014-01-01,40,185,11,5,264,58
Murraylands,2014-01-01,11,168,np,15,np,np
Riverland,2014-01-01,8,188,7,23,831,37
Yorke Peninsula,2014-01-01,np,np,np,np,np,np
Flinders Ranges and Outback,2014-01-01,34,206,np,6,np,np
Kangaroo Island,2014-01-01,41,150,23,4,555,153
Experience Perth,2014-01-01,755,"21,308","1,910",28,"2,529",90
Australia's Golden Outback,2014-01-01,45,914,51,20,"1,132",56
Australia's North West,2014-01-01,69,"2,347",109,34,"1,583",46
Australia's South West,2014-01-01,127,"1,766",141,14,"1,105",80
Australia's Coral Coast,2014-01-01,62,"1,107",76,18,"1,212",68
Hobart and the South,2014-01-01,138,"1,605",133,12,963,83
East Coast,2014-01-01,31,107,23,3,736,215
Launceston and the North,2014-01-01,66,548,47,8,722,86
North West,2014-01-01,34,371,26,11,775,70
West Coast,2014-01-01,18,52,4,3,249,85
Darwin,2014-01-01,131,"2,684",149,20,"1,133",55
Barkly,2014-01-01,15,37,1,3,35,14
