State,StateName,lga_code_2016,lga_name_2016,Hotel or similar (nights '000),Home of friend or relative (nights '000),Commercial camping/caravan park (nights '000),Backpacker (nights '000),Other (nights '000)
1,NSW,10050,Albury (C),374.75,436.75,57.75,,89
1,NSW,10130,Armidale Regional (A),165.75,259.25,93.25,,127.5
1,NSW,10250,Ballina (A),186,525,214.25,,192
1,NSW,10470,Bathurst Regional (A),204,382.25,,,153.25
1,NSW,10550,Bega Valley (A),298.5,412.5,782,,629.5
1,NSW,10600,Bellingen (A),,108.5,103.5,,
1,NSW,10650,Berrigan (A),68,113.5,,,
1,NSW,10900,Blue Mountains (C),416.5,501.75,,,580
1,NSW,11250,Broken Hill (C),152.5,71.75,104.75,,76.25
1,NSW,11350,Byron (A),440.5,733.75,419,,915.75
1,NSW,11650,Central Coast (C) (NSW),598.5,1694.5,361.25,,919.5
1,NSW,11720,Cessnock (C),456.5,168,,,233.25
1,NSW,11730,Clarence Valley (A),212,631.75,459.75,,520.75
1,NSW,11800,Coffs Harbour (C),782,731.5,492.25,,464.75
1,NSW,12350,Cowra (A),51.5,119.75,,,
1,NSW,12750,Eurobodalla (A),270.75,696,597.75,,835.5
1,NSW,12870,Federation (A),78,125,104.5,,
1,NSW,13010,Glen Innes Severn (A),53.25,120.75,,,
1,NSW,13310,Goulburn Mulwaree (A),159.75,151,,,77.75
1,NSW,13450,Griffith (C),98.5,136.5,,,
1,NSW,13510,Gundagai (A),54,92.5,,,
1,NSW,13800,Hawkesbury (C),70.25,199,,,183.75
1,NSW,13910,Hilltops (A),55,189.5,,,81.5
1,NSW,14200,Inverell (A),,115.75,,,94.75
1,NSW,14350,Kempsey (A),87.25,250.75,387,,432.25
1,NSW,14400,Kiama (A),112.75,244.25,176.25,,210.75
1,NSW,14650,Lake Macquarie (C),70.75,453.25,124.75,,172
1,NSW,14850,Lismore (C),85.75,285.75,,,
1,NSW,14870,Lithgow (C),85.25,75.75,,,147
1,NSW,15050,Maitland (C),67.5,197.5,,,
1,NSW,15240,Mid-Coast (A),394.5,992.25,799.5,,1223.5
1,NSW,15270,Mid-Western Regional (A),159.25,235.75,68.25,,249.25
1,NSW,15300,Moree Plains (A),105,117.75,160,,
1,NSW,15520,Murray River (A),121.5,82.75,126.75,,102
1,NSW,15700,Nambucca (A),53.25,186,165.75,,
1,NSW,15750,Narrabri (A),49.5,69.75,,,
1,NSW,15900,Newcastle (C),714.75,1333.5,63.25,,316.75
1,NSW,16150,Orange (C),215.5,320.25,,,268.75
1,NSW,16200,Parkes (A),63.25,123.25,,,
1,NSW,16380,Port Macquarie-Hastings (A),686,776.75,263,,570.5
1,NSW,16400,Port Stephens (A),504.25,491.75,410.25,,761.5
1,NSW,16490,Queanbeyan-Palerang Regional (A),125,352.75,,,87.5
1,NSW,16610,Richmond Valley (A),,93,167,,201
1,NSW,16900,Shellharbour (C),,121.75,,,
1,NSW,16950,Shoalhaven (C),290.75,1271.75,934.75,,1378.75
1,NSW,17000,Singleton (A),55.25,140,,,195.25
1,NSW,17040,Snowy Monaro Regional (A),643.75,329.5,257.5,,871.75
1,NSW,17080,Snowy Valleys (A),69.5,99.5,,,130.75
1,NSW,17310,Tamworth Regional (A),294.5,540.5,150.5,,203.75
1,NSW,17550,Tweed (A),472.25,660,468.5,,373.25
1,NSW,17620,Upper Hunter Shire (A),68.5,83.75,,,84.5
1,NSW,17750,Wagga Wagga (C),344.5,568,76.5,,290.25
1,NSW,18020,Warrumbungle Shire (A),72.75,73.25,37.75,,
1,NSW,18230,Western Plains Regional (A),414.25,409,150,,123.25
1,NSW,18350,Wingecarribee (A),204.75,367.75,,,233
1,NSW,18450,Wollongong (C),340.5,788,175.5,,203.75
1,NSW,18710,Yass Valley (A),50.25,106.25,,,83
2,VIC,20110,Alpine (S),157.75,167.5,310.5,,451.5
2,VIC,20570,Ballarat (C),305.5,575.25,116.25,,153.75
2,VIC,20740,Bass Coast (S),257.25,672,419,,972.5
2,VIC,20830,Baw Baw (S),,176.5,,,100.5
2,VIC,21010,Benalla (RC),40.75,138,,,
2,VIC,21370,Campaspe (S),262.75,335,261.5,,325
2,VIC,21450,Cardinia (S),,213.25,,,
2,VIC,21750,Colac-Otway (S),154,213,207.25,,378
2,VIC,21830,Corangamite (S),50.75,137,,,
2,VIC,22110,East Gippsland (S),411.75,457.5,488.75,,668
2,VIC,22170,Frankston (C),,222.75,,,
2,VIC,22410,Glenelg (S),85.75,171,105.75,,127.5
2,VIC,22620,Greater Bendigo (C),333.5,719.5,156,,215.75
2,VIC,22750,Greater Geelong (C),314.25,1327,447.5,,542.5
2,VIC,22830,Greater Shepparton (C),154.5,266.75,69,,78.75
2,VIC,22910,Hepburn (S),175.5,102.75,,,384.25
2,VIC,23190,Horsham (RC),82,161.25,,,79.25
