OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,OWNER,GENERATIONTYPE,PRIMARYFUELTYPE,PRIMARYSUBFUELTYPE,GENERATIONMW,GENERATORNUMBER,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
1,Power Station,A facility used for the generation of electrical power for distribution,Renewable,120,Repulse,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,28,1,Ouse,Tasmania,5,20171211,Hydro,-42.507695,146.64696
2,Power Station,A facility used for the generation of electrical power for distribution,Renewable,143,Gordon,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,432,3,Southwest,Tasmania,3,20171211,Hydro-Underground,-42.74051814,145.9828322
3,Power Station,A facility used for the generation of electrical power for distribution,Renewable,134,John Butters,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,144,1,Queenstown,Tasmania,4,20171211,Hydro,-42.15483458,145.5344768
4,Power Station,A facility used for the generation of electrical power for distribution,Renewable,128,Tribute,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,82.8,1,West Coast,Tasmania,2,20171211,Hydro-Underground,-41.81287029,145.6538199
5,Power Station,A facility used for the generation of electrical power for distribution,Renewable,137,Bastyan,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,79.9,1,Tullah,Tasmania,5,20171211,Hydro,-41.735983,145.532112
6,Power Station,A facility used for the generation of electrical power for distribution,Renewable,141,Reece,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,238,2,West Coast,Tasmania,5,20171211,Hydro,-41.72376958,145.1359484
7,Power Station,A facility used for the generation of electrical power for distribution,Renewable,142,Mackintosh,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,79.9,1,Tullah,Tasmania,5,20171211,Hydro,-41.69974974,145.6461186
8,Power Station,A facility used for the generation of electrical power for distribution,Renewable,144,Cethana,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,85,1,Cethana,Tasmania,2,20171211,Hydro-Underground,-41.48057641,146.1342527
9,Power Station,A facility used for the generation of electrical power for distribution,Renewable,140,Wilmot,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,81.6,1,Cethana,Tasmania,5,20171211,,-41.483312,146.125073
10,Power Station,A facility used for the generation of electrical power for distribution,Renewable,136,Devils Gate,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,60,1,Barrington,Tasmania,5,20171211,Hydro,-41.350467,146.263167
11,Power Station,A facility used for the generation of electrical power for distribution,Renewable,130,Paloona,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,28,1,Barrington,Tasmania,5,20171211,Hydro,-41.28261605,146.2489641
12,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,139,Bell Bay (Bell Bay Three),Operational,Aurora Energy Tamar Valley Pty Ltd,Open Cycle Gas Turbine,Natural Gas,,115,3,Bell Bay,Tasmania,5,20171211,Gas,-41.14289636,146.9029975
13,Power Station,A facility used for the generation of electrical power for distribution,Renewable,32,Trevallyn,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,80,4,Trevallyn,Tasmania,5,20171211,Hydro,-41.42263297,147.1118721
14,Power Station,A facility used for the generation of electrical power for distribution,Renewable,121,Poatina,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,100,6,Poatina,Tasmania,2,20171211,Hydro-Underground,-41.81157271,146.9190376
15,Power Station,A facility used for the generation of electrical power for distribution,Renewable,124,Lake Echo,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,32.4,1,Dee,Tasmania,5,20171211,Hydro,-42.25370224,146.6206993
16,Power Station,A facility used for the generation of electrical power for distribution,Renewable,15,Codrington Wind Farm,Operational,Energy Pacific (Victoria) Pty Ltd,Wind Turbine,Wind,,18.2,14,Codrington,Victoria,3,20171211,Wind,-38.28351623,141.9547287
17,Power Station,A facility used for the generation of electrical power for distribution,Renewable,20,Yambuk Wind Farm,Operational,Energy Pacific (Victoria) Pty Ltd,Wind Turbine,Wind,,30,20,Yambuk,Victoria,3,20171211,Wind,-38.30793848,142.0151309
18,Power Station,A facility used for the generation of electrical power for distribution,Renewable,417,Macarthur Wind Farm,Operational,AGL Energy Pty Ltd,Wind Turbine,Wind,,420,140,MacArthur,Victoria,3,20171211,Wind,-38.00752684,142.1865101
19,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,108,Mortlake,Operational,Origin Energy,Open Cycle Gas Turbine,Natural Gas,,566,2,Mortlake,Victoria,5,20171211,Gas,-38.06316932,142.6674789
